"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDUNILVR","EQ","29-Jul-2024","2,711.05","2,711.20","2,720.00","2,692.80","2,715.60","2,711.60","2,705.55","9,57,011","2,58,92,41,971.50","58,900","6,18,822","64.66"
"HINDUNILVR","EQ","30-Jul-2024","2,711.60","2,715.60","2,754.35","2,685.40","2,691.40","2,691.40","2,719.02","15,60,399","4,24,27,58,281.35","88,086","8,28,413","53.09"
"HINDUNILVR","EQ","31-Jul-2024","2,691.40","2,705.00","2,709.65","2,675.05","2,707.00","2,705.65","2,696.21","17,51,085","4,72,12,99,809.25","97,411","12,84,076","73.33"
"HINDUNILVR","EQ","01-Aug-2024","2,705.65","2,714.00","2,724.95","2,695.20","2,717.70","2,715.55","2,709.46","18,86,392","5,11,11,11,102.35","94,476","11,11,525","58.92"
"HINDUNILVR","EQ","02-Aug-2024","2,715.55","2,712.00","2,759.50","2,681.15","2,696.00","2,692.55","2,712.68","17,38,872","4,71,70,01,094.00","1,14,139","6,85,237","39.41"
"HINDUNILVR","EQ","05-Aug-2024","2,692.55","2,675.95","2,742.00","2,666.20","2,720.00","2,715.90","2,717.80","31,18,731","8,47,60,94,311.05","1,72,541","16,37,562","52.51"
"HINDUNILVR","EQ","06-Aug-2024","2,715.90","2,720.10","2,771.75","2,708.65","2,757.60","2,750.05","2,751.81","22,96,031","6,31,82,39,055.70","1,29,458","14,89,954","64.89"
"HINDUNILVR","EQ","07-Aug-2024","2,750.05","2,781.70","2,781.85","2,735.50","2,742.95","2,744.05","2,758.49","17,13,875","4,72,76,99,643.30","1,08,113","11,98,645","69.94"
"HINDUNILVR","EQ","08-Aug-2024","2,744.05","2,754.00","2,759.25","2,720.40","2,730.10","2,733.20","2,736.46","14,64,161","4,00,66,12,916.70","1,04,340","8,43,487","57.61"
"HINDUNILVR","EQ","09-Aug-2024","2,733.20","2,756.00","2,758.00","2,718.60","2,745.00","2,747.20","2,735.44","12,84,031","3,51,23,89,300.25","67,439","8,65,046","67.37"
"HINDUNILVR","EQ","12-Aug-2024","2,747.20","2,738.00","2,763.40","2,722.40","2,750.00","2,748.70","2,747.23","12,97,178","3,56,36,50,159.05","69,639","8,92,152","68.78"
"HINDUNILVR","EQ","13-Aug-2024","2,748.70","2,742.00","2,757.65","2,730.10","2,739.05","2,741.40","2,743.80","10,51,237","2,88,43,86,238.65","81,551","7,21,187","68.60"
"HINDUNILVR","EQ","14-Aug-2024","2,741.40","2,741.00","2,742.55","2,706.60","2,721.15","2,722.05","2,726.80","9,46,995","2,58,22,61,363.65","63,014","5,70,451","60.24"
"HINDUNILVR","EQ","16-Aug-2024","2,722.05","2,737.90","2,753.60","2,710.70","2,749.00","2,748.25","2,734.04","17,27,926","4,72,42,15,377.60","91,626","11,93,813","69.09"
"HINDUNILVR","EQ","19-Aug-2024","2,748.25","2,750.05","2,759.75","2,737.05","2,739.00","2,742.55","2,747.76","11,30,327","3,10,58,67,280.95","50,920","8,49,577","75.16"
"HINDUNILVR","EQ","20-Aug-2024","2,742.55","2,742.55","2,756.25","2,735.05","2,748.00","2,751.05","2,744.75","10,97,889","3,01,34,28,066.55","62,029","8,28,235","75.44"
"HINDUNILVR","EQ","21-Aug-2024","2,751.05","2,749.50","2,795.10","2,742.95","2,792.00","2,791.20","2,777.66","14,17,729","3,93,79,72,378.20","62,628","9,60,550","67.75"
"HINDUNILVR","EQ","22-Aug-2024","2,791.20","2,802.95","2,810.00","2,782.10","2,792.50","2,792.80","2,792.22","15,52,947","4,33,61,74,134.55","84,104","10,29,229","66.28"
"HINDUNILVR","EQ","23-Aug-2024","2,792.80","2,799.20","2,821.00","2,771.35","2,810.50","2,815.60","2,803.87","21,11,401","5,92,01,02,615.25","1,06,915","15,10,253","71.53"
