"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","09-Jan-2024","3,501.10","3,527.45","3,593.75","3,520.10","3,560.00","3,555.95","3,564.35","18,07,271","6,44,17,43,425.35","1,36,843","9,58,324","53.03"
"LT","EQ","10-Jan-2024","3,555.95","3,549.95","3,558.95","3,520.00","3,548.00","3,545.50","3,537.36","15,34,821","5,42,92,21,814.50","1,01,151","9,56,420","62.31"
"LT","EQ","11-Jan-2024","3,545.50","3,545.50","3,559.55","3,500.55","3,507.00","3,504.85","3,523.56","11,05,348","3,89,47,55,496.85","1,13,992","6,64,576","60.12"
"LT","EQ","12-Jan-2024","3,504.85","3,505.05","3,578.65","3,494.05","3,568.00","3,568.80","3,540.61","17,82,631","6,31,15,96,272.35","1,40,965","9,87,229","55.38"
"LT","EQ","15-Jan-2024","3,568.80","3,576.10","3,605.70","3,538.05","3,546.90","3,543.05","3,565.61","17,83,518","6,35,93,26,466.35","1,38,184","10,86,370","60.91"
"LT","EQ","16-Jan-2024","3,543.05","3,548.00","3,589.00","3,538.00","3,578.00","3,573.50","3,568.44","17,91,818","6,39,39,98,654.80","1,66,759","11,85,193","66.14"
"LT","EQ","17-Jan-2024","3,573.50","3,555.00","3,614.45","3,547.70","3,575.05","3,570.95","3,576.80","26,99,076","9,65,40,42,587.35","1,64,051","16,61,113","61.54"
"LT","EQ","18-Jan-2024","3,570.95","3,570.80","3,616.95","3,525.00","3,603.00","3,596.00","3,592.24","21,48,898","7,71,93,57,081.85","1,83,094","12,69,966","59.10"
"LT","EQ","19-Jan-2024","3,596.00","3,603.00","3,655.85","3,603.00","3,646.00","3,646.00","3,636.43","19,13,923","6,95,98,43,129.05","1,96,916","11,14,564","58.23"
"LT","EQ","20-Jan-2024","3,646.00","3,667.00","3,670.00","3,621.05","3,637.40","3,634.50","3,644.77","4,68,514","1,70,76,27,966.30","52,470","2,22,049","47.39"
"LT","EQ","23-Jan-2024","3,634.50","3,637.60","3,661.35","3,536.20","3,547.00","3,551.00","3,602.16","17,42,142","6,27,54,72,696.80","1,66,563","11,64,704","66.85"
"LT","EQ","24-Jan-2024","3,551.00","3,570.00","3,617.95","3,521.70","3,600.00","3,589.20","3,586.69","37,11,521","13,31,20,62,950.35","1,92,912","27,31,075","73.58"
"LT","EQ","25-Jan-2024","3,589.20","3,599.90","3,618.25","3,564.80","3,584.00","3,593.45","3,594.44","22,06,540","7,93,12,67,641.20","1,64,879","13,68,503","62.02"
"LT","EQ","29-Jan-2024","3,593.45","3,604.00","3,733.85","3,600.10","3,710.00","3,708.00","3,687.07","20,72,982","7,64,32,38,960.10","1,66,432","12,71,712","61.35"
"LT","EQ","30-Jan-2024","3,708.00","3,715.95","3,737.90","3,624.90","3,639.85","3,633.30","3,675.49","14,54,989","5,34,77,91,328.15","1,33,031","7,47,324","51.36"
"LT","EQ","31-Jan-2024","3,633.30","3,520.00","3,538.00","3,387.05","3,480.00","3,479.75","3,459.48","96,37,606","33,34,11,19,439.35","5,45,802","54,05,947","56.09"
"LT","EQ","01-Feb-2024","3,479.75","3,480.00","3,493.75","3,371.00","3,398.00","3,398.00","3,414.16","61,49,780","20,99,63,47,650.90","3,50,563","39,76,225","64.66"
"LT","EQ","02-Feb-2024","3,398.00","3,402.70","3,436.35","3,361.00","3,380.60","3,376.05","3,399.28","75,79,802","25,76,58,55,679.15","3,60,278","47,74,809","62.99"
"LT","EQ","05-Feb-2024","3,376.05","3,375.50","3,407.95","3,318.45","3,340.95","3,341.75","3,362.80","29,54,238","9,93,45,01,679.35","4,15,549","20,36,923","68.95"
"LT","EQ","06-Feb-2024","3,341.75","3,346.00","3,427.75","3,337.55","3,419.00","3,424.25","3,398.53","25,45,192","8,64,99,19,158.85","1,87,126","16,82,140","66.09"
"LT","EQ","07-Feb-2024","3,424.25","3,445.00","3,447.00","3,389.00","3,396.00","3,394.70","3,413.73","20,99,940","7,16,86,31,397.95","1,88,731","12,98,307","61.83"
"LT","EQ","08-Feb-2024","3,394.70","3,413.00","3,417.80","3,293.85","3,356.00","3,335.50","3,350.08","34,71,727","11,63,05,63,825.40","3,10,823","20,63,516","59.44"
"LT","EQ","09-Feb-2024","3,335.50","3,336.25","3,390.00","3,308.95","3,324.00","3,324.55","3,327.86","31,21,873","10,38,91,52,101.40","1,81,824","16,98,995","54.42"
"LT","EQ","12-Feb-2024","3,324.55","3,330.00","3,339.15","3,287.00","3,301.55","3,299.55","3,308.84","19,22,273","6,36,04,97,577.70","1,86,795","12,68,822","66.01"
"LT","EQ","13-Feb-2024","3,299.55","3,312.00","3,338.55","3,284.10","3,316.25","3,321.50","3,319.88","21,51,493","7,14,27,03,813.40","1,69,600","14,80,228","68.80"
"LT","EQ","14-Feb-2024","3,321.50","3,290.05","3,316.95","3,263.05","3,312.95","3,309.00","3,287.26","25,02,138","8,22,51,69,971.75","2,16,456","17,03,191","68.07"
"LT","EQ","15-Feb-2024","3,309.00","3,309.00","3,321.95","3,290.20","3,303.95","3,300.30","3,302.95","19,99,189","6,60,32,20,230.75","1,66,096","12,39,531","62.00"
"LT","EQ","16-Feb-2024","3,300.30","3,304.95","3,398.00","3,304.05","3,382.80","3,386.75","3,369.15","27,68,329","9,32,69,27,305.10","1,83,986","15,95,267","57.63"
"LT","EQ","19-Feb-2024","3,386.75","3,400.55","3,408.00","3,335.50","3,341.15","3,339.85","3,352.09","12,16,447","4,07,76,37,549.30","97,105","6,28,180","51.64"
"LT","EQ","20-Feb-2024","3,339.85","3,339.85","3,367.75","3,328.45","3,362.50","3,356.75","3,347.47","15,78,162","5,28,28,54,808.30","1,19,394","10,22,526","64.79"
"LT","EQ","21-Feb-2024","3,356.75","3,356.90","3,356.90","3,290.05","3,299.00","3,296.40","3,323.77","24,30,672","8,07,90,05,922.80","1,47,651","16,62,420","68.39"
"LT","EQ","22-Feb-2024","3,296.40","3,310.00","3,369.00","3,276.95","3,363.00","3,363.75","3,323.23","25,21,388","8,37,91,47,529.45","1,88,283","12,07,847","47.90"
"LT","EQ","23-Feb-2024","3,363.75","3,363.75","3,399.90","3,340.75","3,375.00","3,387.95","3,376.68","21,07,176","7,11,52,52,255.55","1,50,790","11,81,507","56.07"
"LT","EQ","26-Feb-2024","3,387.95","3,400.00","3,491.65","3,393.00","3,470.35","3,470.15","3,464.62","41,22,419","14,28,26,18,156.15","1,98,475","23,16,176","56.18"
"LT","EQ","27-Feb-2024","3,470.15","3,475.00","3,512.00","3,451.90","3,496.50","3,506.45","3,492.62","21,22,286","7,41,23,32,300.70","1,37,026","14,11,733","66.52"
"LT","EQ","28-Feb-2024","3,506.45","3,505.00","3,513.00","3,446.15","3,463.05","3,470.20","3,474.86","16,66,903","5,79,22,54,903.90","1,44,188","10,18,370","61.09"
"LT","EQ","29-Feb-2024","3,470.20","3,485.00","3,496.00","3,436.45","3,481.00","3,477.55","3,469.20","21,19,512","7,35,30,04,193.20","1,32,525","12,79,016","60.34"
"LT","EQ","01-Mar-2024","3,477.55","3,501.65","3,658.35","3,500.00","3,628.85","3,633.50","3,594.50","44,07,803","15,84,38,45,019.95","2,74,913","20,11,254","45.63"
"LT","EQ","02-Mar-2024","3,633.50","3,647.90","3,690.00","3,646.20","3,652.90","3,655.25","3,665.31","2,46,957","90,51,74,073.40","18,973","1,39,581","56.52"
"LT","EQ","04-Mar-2024","3,655.25","3,670.00","3,679.80","3,622.05","3,639.00","3,644.45","3,642.69","13,07,501","4,76,28,19,651.20","1,20,856","7,78,458","59.54"
"LT","EQ","05-Mar-2024","3,644.45","3,631.20","3,644.45","3,590.30","3,618.00","3,612.60","3,616.74","19,81,370","7,16,61,08,372.95","1,20,484","14,26,257","71.98"
"LT","EQ","06-Mar-2024","3,612.60","3,618.00","3,652.45","3,586.05","3,649.00","3,642.20","3,617.07","15,00,196","5,42,63,17,443.80","1,34,403","9,01,810","60.11"
"LT","EQ","07-Mar-2024","3,642.20","3,660.75","3,705.15","3,643.25","3,679.00","3,676.95","3,679.75","23,44,401","8,62,68,12,543.35","1,48,815","14,62,607","62.39"
"LT","EQ","11-Mar-2024","3,676.95","3,700.00","3,700.00","3,631.45","3,638.85","3,640.60","3,650.08","17,48,541","6,38,23,07,502.05","1,28,768","12,06,532","69.00"
"LT","EQ","12-Mar-2024","3,640.60","3,639.05","3,672.00","3,613.15","3,622.00","3,621.65","3,642.79","14,70,377","5,35,62,69,272.75","1,39,831","9,12,434","62.05"
"LT","EQ","13-Mar-2024","3,621.65","3,634.90","3,636.80","3,511.90","3,537.00","3,538.55","3,551.51","25,03,293","8,89,04,69,106.50","1,84,262","15,31,057","61.16"
"LT","EQ","14-Mar-2024","3,538.55","3,527.05","3,636.00","3,522.00","3,600.00","3,608.20","3,601.93","45,28,490","16,31,13,19,982.30","2,32,700","30,04,786","66.35"
"LT","EQ","15-Mar-2024","3,608.20","3,598.00","3,603.00","3,524.05","3,541.55","3,537.15","3,545.99","40,54,210","14,37,61,80,273.90","2,28,044","30,07,135","74.17"
"LT","EQ","18-Mar-2024","3,537.15","3,537.15","3,572.20","3,526.70","3,560.00","3,561.20","3,557.46","13,54,787","4,81,95,99,392.80","1,22,348","8,95,552","66.10"
"LT","EQ","19-Mar-2024","3,561.20","3,541.00","3,549.50","3,481.00","3,504.00","3,501.70","3,506.62","14,47,405","5,07,54,98,906.35","1,20,334","9,72,272","67.17"
"LT","EQ","20-Mar-2024","3,501.70","3,502.75","3,524.95","3,487.75","3,513.20","3,509.70","3,511.18","14,42,811","5,06,59,63,257.80","1,20,211","10,45,547","72.47"
"LT","EQ","21-Mar-2024","3,509.70","3,525.15","3,596.00","3,525.15","3,562.00","3,560.00","3,569.15","25,04,962","8,94,05,92,592.80","1,58,916","12,76,212","50.95"
"LT","EQ","22-Mar-2024","3,560.00","3,546.20","3,647.30","3,546.20","3,610.00","3,617.80","3,609.22","30,20,545","10,90,18,01,227.85","2,16,381","14,93,155","49.43"
"LT","EQ","26-Mar-2024","3,617.80","3,605.00","3,676.90","3,600.00","3,670.00","3,670.10","3,653.95","23,20,963","8,48,06,83,349.10","1,67,326","16,65,899","71.78"
"LT","EQ","27-Mar-2024","3,670.10","3,683.00","3,727.20","3,670.10","3,704.00","3,706.40","3,707.53","23,87,693","8,85,24,46,126.50","1,60,348","14,82,880","62.11"
"LT","EQ","28-Mar-2024","3,706.40","3,706.55","3,813.35","3,697.55","3,764.90","3,763.90","3,767.16","42,78,668","16,11,84,35,648.65","2,11,392","19,84,940","46.39"
"LT","EQ","01-Apr-2024","3,763.90","3,780.85","3,851.85","3,780.85","3,840.20","3,838.00","3,831.67","19,05,190","7,30,00,59,452.85","1,10,296","11,82,730","62.08"
"LT","EQ","02-Apr-2024","3,838.00","3,849.80","3,860.00","3,771.25","3,811.80","3,807.40","3,795.24","36,08,162","13,69,38,53,103.30","1,22,363","27,54,282","76.33"
"LT","EQ","03-Apr-2024","3,807.40","3,799.70","3,799.70","3,770.15","3,783.00","3,782.45","3,781.80","16,84,618","6,37,08,95,627.60","1,02,022","11,80,089","70.05"
"LT","EQ","04-Apr-2024","3,782.45","3,804.90","3,819.75","3,731.05","3,810.00","3,797.85","3,779.76","23,39,529","8,84,28,53,337.25","1,70,785","6,30,370","26.94"
"LT","EQ","05-Apr-2024","3,797.85","3,770.10","3,790.00","3,716.25","3,744.00","3,743.10","3,743.00","16,45,597","6,15,94,61,644.15","1,18,994","6,94,698","42.22"
"LT","EQ","08-Apr-2024","3,743.10","3,745.00","3,819.80","3,743.10","3,811.05","3,807.85","3,787.21","10,83,395","4,10,30,40,560.30","87,260","5,39,924","49.84"
"LT","EQ","09-Apr-2024","3,807.85","3,820.00","3,827.95","3,775.00","3,781.00","3,785.25","3,793.72","19,97,057","7,57,62,71,478.80","89,699","15,62,788","78.25"
"LT","EQ","10-Apr-2024","3,785.25","3,800.00","3,800.00","3,750.10","3,758.80","3,753.20","3,765.13","19,51,581","7,34,79,62,875.95","1,16,783","13,86,347","71.04"
"LT","EQ","12-Apr-2024","3,753.20","3,749.95","3,802.10","3,663.50","3,687.00","3,679.25","3,722.02","34,37,544","12,79,45,99,828.35","2,25,321","15,68,253","45.62"
"LT","EQ","15-Apr-2024","3,679.25","3,626.05","3,679.85","3,586.20","3,605.45","3,600.80","3,627.82","17,19,910","6,23,95,22,111.15","1,64,970","9,04,940","52.62"
"LT","EQ","16-Apr-2024","3,600.80","3,580.05","3,598.15","3,529.45","3,555.00","3,543.45","3,555.15","22,91,042","8,14,50,00,756.35","1,61,892","14,42,329","62.96"
"LT","EQ","18-Apr-2024","3,543.45","3,561.95","3,617.65","3,539.70","3,554.00","3,550.95","3,571.29","32,73,257","11,68,97,57,625.85","2,00,764","15,39,206","47.02"
"LT","EQ","19-Apr-2024","3,550.95","3,525.00","3,542.90","3,472.40","3,512.90","3,518.35","3,509.76","27,59,031","9,68,35,45,965.80","1,61,797","14,49,220","52.53"
"LT","EQ","22-Apr-2024","3,518.35","3,568.75","3,620.00","3,540.95","3,620.00","3,612.70","3,587.21","26,05,754","9,34,73,87,248.85","1,57,999","17,05,659","65.46"
"LT","EQ","23-Apr-2024","3,612.70","3,632.75","3,632.75","3,588.00","3,606.00","3,610.15","3,604.41","14,34,580","5,17,08,09,324.90","1,25,329","9,09,676","63.41"
"LT","EQ","24-Apr-2024","3,610.15","3,616.55","3,654.95","3,601.10","3,640.30","3,634.85","3,636.62","15,01,234","5,45,94,22,387.25","1,04,466","10,07,359","67.10"
"LT","EQ","25-Apr-2024","3,634.85","3,616.10","3,666.00","3,611.60","3,642.00","3,652.30","3,646.80","24,20,380","8,82,66,35,615.35","1,38,913","10,31,256","42.61"
"LT","EQ","26-Apr-2024","3,652.30","3,652.00","3,660.90","3,585.00","3,608.00","3,605.20","3,614.36","19,73,113","7,13,15,46,088.05","1,55,188","9,67,785","49.05"
"LT","EQ","29-Apr-2024","3,605.20","3,606.10","3,649.90","3,605.20","3,634.00","3,634.30","3,633.23","13,96,979","5,07,55,51,037.65","1,04,169","8,64,466","61.88"
"LT","EQ","30-Apr-2024","3,634.30","3,639.00","3,648.95","3,584.05","3,591.95","3,594.30","3,622.81","15,71,996","5,69,50,43,780.50","1,47,602","11,64,682","74.09"
"LT","EQ","02-May-2024","3,594.30","3,590.05","3,634.15","3,576.05","3,599.75","3,599.50","3,600.92","37,48,847","13,49,93,05,908.60","3,39,498","16,57,551","44.21"
"LT","EQ","03-May-2024","3,599.50","3,610.00","3,622.00","3,488.45","3,500.00","3,499.80","3,525.94","40,79,696","14,38,47,59,936.65","3,36,644","23,74,338","58.20"
"LT","EQ","06-May-2024","3,499.80","3,522.80","3,527.00","3,441.10","3,468.00","3,463.30","3,469.51","26,14,667","9,07,16,08,497.05","2,00,066","15,62,297","59.75"
"LT","EQ","07-May-2024","3,463.30","3,479.40","3,496.00","3,425.00","3,429.10","3,427.75","3,451.20","33,76,013","11,65,13,04,132.40","1,70,591","24,35,550","72.14"
"LT","EQ","08-May-2024","3,427.75","3,429.00","3,497.40","3,367.80","3,482.75","3,486.85","3,422.63","41,16,670","14,08,98,33,172.55","2,06,007","19,34,299","46.99"
"LT","EQ","09-May-2024","3,486.85","3,312.75","3,377.00","3,266.65","3,289.95","3,275.45","3,310.59","1,21,20,574","40,12,61,95,141.05","6,42,552","74,85,198","61.76"
"LT","EQ","10-May-2024","3,275.45","3,281.60","3,306.15","3,234.60","3,276.90","3,271.45","3,263.22","41,32,191","13,48,42,47,758.50","2,72,803","24,17,633","58.51"
"LT","EQ","13-May-2024","3,271.45","3,267.05","3,315.00","3,225.20","3,300.00","3,293.85","3,280.38","35,57,067","11,66,85,26,808.25","2,05,393","23,09,198","64.92"
"LT","EQ","14-May-2024","3,293.85","3,300.00","3,384.90","3,293.40","3,375.00","3,379.45","3,348.66","28,70,328","9,61,17,46,752.45","1,76,256","18,43,187","64.22"
"LT","EQ","15-May-2024","3,379.45","3,390.00","3,417.40","3,353.15","3,415.00","3,411.30","3,386.15","27,18,682","9,20,58,69,368.60","1,85,374","15,89,809","58.48"
"LT","EQ","16-May-2024","3,411.30","3,428.95","3,468.50","3,378.70","3,460.00","3,460.60","3,413.98","33,98,714","11,60,31,35,146.30","2,29,058","14,52,663","42.74"
"LT","EQ","17-May-2024","3,460.60","3,475.95","3,475.95","3,412.15","3,454.15","3,450.75","3,440.74","26,76,919","9,21,05,79,941.25","1,75,513","13,68,223","51.11"
"LT","EQ","18-May-2024","3,450.75","3,452.00","3,468.00","3,445.80","3,467.50","3,464.20","3,458.37","1,41,462","48,92,28,073.75","9,811","86,537","61.17"
"LT","EQ","21-May-2024","3,464.20","3,458.00","3,470.30","3,434.00","3,435.05","3,440.95","3,450.64","21,00,848","7,24,92,74,176.20","1,47,630","15,66,592","74.57"
"LT","EQ","22-May-2024","3,440.95","3,450.05","3,472.70","3,435.05","3,464.75","3,460.85","3,459.49","14,09,992","4,87,78,46,791.15","1,18,328","8,64,451","61.31"
"LT","EQ","23-May-2024","3,460.85","3,460.90","3,601.65","3,455.00","3,577.00","3,585.40","3,551.20","45,25,637","16,07,14,52,309.50","2,74,666","20,99,034","46.38"
"LT","EQ","24-May-2024","3,585.40","3,586.00","3,659.00","3,582.30","3,621.00","3,625.90","3,627.82","27,40,360","9,94,15,41,702.45","1,92,630","12,61,878","46.05"
"LT","EQ","27-May-2024","3,625.90","3,644.90","3,695.00","3,600.00","3,647.00","3,652.00","3,653.01","25,70,708","9,39,08,09,807.35","1,82,366","14,83,924","57.72"
"LT","EQ","28-May-2024","3,652.00","3,652.00","3,685.25","3,646.05","3,657.00","3,658.20","3,661.34","14,40,187","5,27,30,12,668.20","1,19,953","8,96,227","62.23"
"LT","EQ","29-May-2024","3,658.20","3,611.00","3,661.85","3,610.35","3,628.15","3,634.80","3,635.48","15,06,146","5,47,55,66,341.05","97,277","9,20,248","61.10"
"LT","EQ","30-May-2024","3,634.80","3,626.05","3,643.95","3,607.75","3,643.00","3,634.70","3,630.63","27,01,849","9,80,94,13,541.40","1,74,916","17,96,320","66.48"
"LT","EQ","31-May-2024","3,634.70","3,636.40","3,744.80","3,636.40","3,678.50","3,669.30","3,693.33","64,32,341","23,75,67,40,901.05","2,44,010","32,87,022","51.10"
"LT","EQ","03-Jun-2024","3,669.30","3,855.40","3,919.90","3,801.10","3,900.45","3,897.15","3,880.45","57,67,666","22,38,11,47,733.00","2,46,551","40,70,243","70.57"
"LT","EQ","04-Jun-2024","3,897.15","3,852.00","3,898.00","3,320.00","3,415.00","3,403.20","3,539.43","99,20,882","35,11,42,40,230.60","5,60,360","56,14,725","56.60"
"LT","EQ","05-Jun-2024","3,403.20","3,441.50","3,441.50","3,175.05","3,399.95","3,409.00","3,303.53","1,03,72,458","34,26,57,05,434.50","5,62,189","54,42,813","52.47"
"LT","EQ","06-Jun-2024","3,409.00","3,438.00","3,538.20","3,385.30","3,496.00","3,482.55","3,480.80","83,74,602","29,15,03,43,332.10","3,71,459","42,46,127","50.70"
"LT","EQ","07-Jun-2024","3,482.55","3,465.05","3,548.00","3,446.00","3,527.85","3,532.50","3,514.12","58,79,660","20,66,18,21,710.20","2,99,277","30,89,803","52.55"
"LT","EQ","10-Jun-2024","3,532.50","3,521.05","3,585.00","3,521.05","3,541.95","3,543.75","3,552.73","31,51,257","11,19,55,50,287.70","1,72,023","18,07,547","57.36"
"LT","EQ","11-Jun-2024","3,543.75","3,570.00","3,639.00","3,551.20","3,600.00","3,598.70","3,609.24","25,48,176","9,19,69,76,162.95","1,69,264","11,15,060","43.76"
"LT","EQ","12-Jun-2024","3,598.70","3,615.00","3,648.95","3,578.00","3,630.00","3,630.30","3,630.27","22,42,274","8,14,00,54,289.95","1,06,476","12,79,517","57.06"
"LT","EQ","13-Jun-2024","3,630.30","3,665.50","3,715.90","3,635.00","3,702.00","3,703.65","3,683.70","29,65,500","10,92,40,17,088.50","2,48,839","15,58,091","52.54"
"LT","EQ","14-Jun-2024","3,703.65","3,718.00","3,720.00","3,675.00","3,681.10","3,687.80","3,689.66","17,46,508","6,44,40,27,620.65","1,16,358","8,84,829","50.66"
"LT","EQ","18-Jun-2024","3,687.80","3,708.00","3,710.00","3,675.00","3,689.00","3,689.20","3,694.70","19,36,792","7,15,58,63,443.90","1,25,205","12,51,363","64.61"
"LT","EQ","19-Jun-2024","3,689.20","3,690.00","3,699.00","3,575.00","3,606.95","3,589.95","3,622.88","29,36,151","10,63,73,25,627.10","1,74,218","18,51,650","63.06"
"LT","EQ","20-Jun-2024","3,589.95","3,584.95","3,613.30","3,564.60","3,598.40","3,594.45","3,587.54","26,18,715","9,39,47,46,481.05","1,68,275","12,54,150","47.89"
"LT","EQ","21-Jun-2024","3,594.45","3,604.05","3,610.00","3,516.00","3,524.00","3,535.00","3,546.79","45,08,508","15,99,07,34,726.95","2,08,119","22,38,904","49.66"
"LT","EQ","24-Jun-2024","3,535.00","3,520.35","3,567.00","3,505.00","3,541.00","3,531.60","3,540.30","23,30,559","8,25,08,82,779.90","1,27,028","15,24,290","65.40"
"LT","EQ","25-Jun-2024","3,531.60","3,556.50","3,591.95","3,528.00","3,588.45","3,587.80","3,563.39","21,58,039","7,68,99,39,971.35","1,39,316","12,66,735","58.70"
"LT","EQ","26-Jun-2024","3,587.80","3,601.00","3,624.90","3,592.25","3,604.00","3,602.95","3,605.48","24,80,187","8,94,22,56,279.25","1,37,475","18,20,682","73.41"
"LT","EQ","27-Jun-2024","3,602.95","3,597.45","3,601.30","3,550.00","3,563.00","3,564.40","3,568.52","55,19,875","19,69,77,63,049.00","2,67,353","34,63,648","62.75"
"LT","EQ","28-Jun-2024","3,564.40","3,540.00","3,575.95","3,538.10","3,545.70","3,548.45","3,558.07","31,41,514","11,17,77,24,726.20","2,11,665","21,18,610","67.44"
"LT","EQ","01-Jul-2024","3,548.45","3,535.20","3,541.40","3,514.00","3,528.20","3,526.55","3,524.97","29,61,120","10,43,78,45,854.20","1,56,318","22,52,145","76.06"
